id;code;date;details;status;payment_method;payment_date;payment_amount
1;Texas Focused;2022-01-18T03:19:49;Loop;CANCELLED;UPI;2022-01-17T21:40:14;22604
2;calculating;2022-01-18T03:48:12;haptic 1080p;ISSUED;UPI;2022-01-17T15:01:52;10489
3;national Frozen Berkshire;2022-01-18T04:03:02;Account Borders Home;PAID;CREDIT_CARD;2022-01-17T18:45:53;36325
4;monitor;2022-01-17T14:05:38;parse intuitive Division;CANCELLED;UPI;2022-01-17T15:40:39;13687
5;synergy transmitting;2022-01-17T14:07:53;parse Gloves;ISSUED;PAYPAL;2022-01-17T22:44:31;92472
6;function;2022-01-17T19:01:21;Fresh;CANCELLED;CASH_ON_DELIVERY;2022-01-18T06:08:22;26944
7;Maine;2022-01-18T05:27:44;RAM;ISSUED;UPI;2022-01-18T10:29:36;32458
8;Analyst Agent;2022-01-18T09:22:26;Awesome Salad compressing;ISSUED;PAYPAL;2022-01-18T06:24:08;79389
9;Salad;2022-01-17T15:31:08;Gorgeous;ISSUED;CREDIT_CARD;2022-01-18T00:17:32;62169
10;Pants Wooden Intuitive;2022-01-18T00:55:05;array Arizona Vermont;CANCELLED;CASH_ON_DELIVERY;2022-01-17T20:49:42;58737
