id;code;date;details;status;payment_method;payment_date;payment_amount
1;Texas Focused;2022-01-18T03:10:48;Loop;CANCELLED;UPI;2022-01-17T21:31:13;22604
2;calculating;2022-01-18T03:39:11;haptic 1080p;ISSUED;UPI;2022-01-17T14:52:51;10489
3;national Frozen Berkshire;2022-01-18T03:54:01;Account Borders Home;PAID;CREDIT_CARD;2022-01-17T18:36:52;36325
4;monitor;2022-01-17T13:56:37;parse intuitive Division;CANCELLED;UPI;2022-01-17T15:31:38;13687
5;synergy transmitting;2022-01-17T13:58:52;parse Gloves;ISSUED;PAYPAL;2022-01-17T22:35:30;92472
6;function;2022-01-17T18:52:20;Fresh;CANCELLED;CASH_ON_DELIVERY;2022-01-18T05:59:21;26944
7;Maine;2022-01-18T05:18:43;RAM;ISSUED;UPI;2022-01-18T10:20:35;32458
8;Analyst Agent;2022-01-18T09:13:25;Awesome Salad compressing;ISSUED;PAYPAL;2022-01-18T06:15:07;79389
9;Salad;2022-01-17T15:22:07;Gorgeous;ISSUED;CREDIT_CARD;2022-01-18T00:08:31;62169
10;Pants Wooden Intuitive;2022-01-18T00:46:04;array Arizona Vermont;CANCELLED;CASH_ON_DELIVERY;2022-01-17T20:40:41;58737
